total_area,living_area,kitchen_area,cityCenters_nearest,bedrooms,floors_total,ceiling_height,airports_nearest,floor,balcony,price_class
59.0,31.5,6.6,8180,2,4,2.87,20485,2,0,0.0
109.0,72.0,12.2,8643,4,5,3.15,42683,2,0,1.0
74.5,49.0,10.8,16670,3,10,2.58,14078,9,0,1.0
37.4,20.0,6.2,17699,1,9,2.5,17792,4,2,0.0
64.9,41.9,10.4,10573,3,12,2.65,14767,11,0,1.0
63.2,44.0,7.2,19273,3,9,2.6,20271,2,1,0.0
65.0,32.0,11.0,15458,2,17,2.65,35452,3,1,1.0
72.0,42.0,8.0,14768,3,10,2.5,10402,5,1,1.0
33.8,19.0,7.1,16608,1,9,2.5,45657,8,0,0.0
51.2,31.5,7.8,10770,2,4,2.9,14963,2,0,0.0
74.7,42.0,9.5,11102,2,4,3.2,15295,3,0,1.0
46.0,32.0,7.3,14879,2,5,2.7,24983,3,0,0.0
92.0,65.0,13.0,3037,4,5,3.2,23496,2,0,1.0
117.7,62.6,21.3,11096,3,8,3.0,39393,5,0,1.0
34.1,14.47,10.4,15945,1,25,2.7,18488,12,0,0.0
55.0,32.0,10.2,23138,2,12,2.7,21426,2,0,0.0
45.0,30.0,7.1,13621,2,5,2.5,15080,4,1,0.0
86.0,53.0,12.5,3795,4,7,3.25,23662,6,0,1.0
59.0,33.0,11.5,17256,2,23,2.7,21928,12,2,0.0
300.0,170.0,20.0,5509,6,5,3.0,24825,5,0,1.0
29.4,15.2,7.2,9700,1,5,2.5,42415,1,0,0.0
45.5,31.0,6.0,14663,2,5,2.6,42159,1,0,0.0
75.5,50.5,9.0,4087,3,5,3.56,21869,3,1,1.0
44.5,28.0,6.0,10869,2,5,2.5,9822,1,0,0.0
90.0,54.0,16.0,10790,3,13,2.7,29126,12,0,1.0
63.3,39.0,8.3,3948,2,3,3.0,25101,1,0,1.0
42.0,19.0,10.0,13971,1,16,2.65,10596,15,0,0.0
42.41,28.15,7.19,12440,2,9,2.5,12642,4,0,0.0
38.4,20.1,10.3,13271,1,16,2.6,10010,12,2,0.0
150.0,99.0,18.0,3959,6,5,3.0,22149,2,0,1.0
90.0,54.0,12.0,2879,3,5,3.0,24331,4,2,1.0
80.0,55.0,15.0,675,3,4,2.84,20954,4,0,1.0
56.4,20.4,15.3,5299,1,11,2.7,23609,8,0,1.0
82.0,56.0,9.0,5605,3,5,3.0,26758,4,0,1.0
36.4,19.5,7.0,14037,1,12,2.7,33736,4,2,0.0
