last_price,total_area,bedrooms,ceiling_height,floors_total,living_area,floor,bike_parking,studio,open_plan,kitchen_area,balcony,airports_nearest,cityCenters_nearest
108000,59,2,2.87,4,31.5,2,0,0,0,6.6,0,20485,8180
264000,109,4,3.15,5,72,2,0,0,0,12.2,0,42683,8643
140000,74.5,3,2.58,10,49,9,0,0,0,10.8,0,14078,16670
64000,37.4,1,2.5,9,20,4,0,0,0,6.2,2,17792,17699
133000,64.9,3,2.65,12,41.9,11,0,0,0,10.4,0,14767,10573
94000,63.2,3,2.6,9,44,2,0,0,0,7.2,1,20271,19273
175000,65,2,2.65,17,32,3,0,0,0,11,1,35452,15458
152000,72,3,2.5,10,42,5,0,0,0,8,1,10402,14768
63800,33.8,1,2.5,9,19,8,0,0,0,7.1,0,45657,16608
110000,51.2,2,2.9,4,31.5,2,0,0,0,7.8,0,14963,10770
150000,74.7,2,3.2,4,42,3,0,0,0,9.5,0,15295,11102
71000,46,2,2.7,5,32,3,0,0,0,7.3,0,24983,14879
254000,92,4,3.2,5,65,2,0,0,0,13,0,23496,3037
388000,117.7,3,3,8,62.6,5,0,0,0,21.3,0,39393,11096
79980,34.1,1,2.7,25,14.47,12,0,0,0,10.4,0,18488,15945
96000,55,2,2.7,12,32,2,0,0,0,10.2,0,21426,23138
82000,45,2,2.5,5,30,4,0,0,0,7.1,1,15080,13621
147600,86,4,3.25,7,53,6,0,0,0,12.5,0,23662,3795
110000,59,2,2.7,23,33,12,0,0,0,11.5,2,21928,17256
1080000,300,6,3,5,170,5,0,0,0,20,0,24825,5509
52000,29.4,1,2.5,5,15.2,1,0,0,0,7.2,0,42415,9700
84000,45.5,2,2.6,5,31,1,0,0,0,6,0,42159,14663
150000,75.5,3,3.56,5,50.5,3,0,0,0,9,1,21869,4087
89400,44.5,2,2.5,5,28,1,0,0,0,6,0,9822,10869
268000,90,3,2.7,13,54,12,0,0,0,16,0,29126,10790
117500,63.3,2,3,3,39,1,0,0,0,8.3,0,25101,3948
94980,42,1,2.65,16,19,15,0,0,0,10,0,10596,13971
84000,42.41,2,2.5,9,28.15,4,0,0,0,7.19,0,12642,12440
87000,38.4,1,2.6,16,20.1,12,0,0,0,10.3,2,10010,13271
460000,150,6,3,5,99,2,0,0,0,18,0,22149,3959
268000,90,3,3,5,54,4,0,0,0,12,2,24331,2879
170000,80,3,2.84,4,55,4,0,0,0,15,0,20954,675
135455.24,56.4,1,2.7,11,20.4,8,0,0,0,15.3,0,23609,5299
156000,82,3,3,5,56,4,0,0,0,9,0,26758,5605
78000,36.4,1,2.7,12,19.5,4,0,0,0,7,2,33736,14037
91000,55,2,2.57,9,31.5,7,0,0,0,8,0,33152,11112
166000,90.3,3,3.07,9,53.4,9,0,0,0,15.9,2,30672,11542
115000,43.2,1,2.67,16,18,6,0,0,0,10.8,1,14800,11490
91500,59,3,2.5,9,42,1,0,0,0,6.4,2,50322,15264
109800,56,2,2.9,5,33,5,0,0,0,8.3,1,13869,8872
129000,56,1,3,12,27,6,0,0,0,14,2,16285,6303
96000,49,2,2.55,12,28,3,0,0,0,8,0,48722,16183
69800,42.45,2,2.51,8,28.31,7,0,0,0,8,0,19420,15580
114000,69.3,3,2.65,12,42,1,0,0,0,11,0,36223,16525
62000,35.5,1,2.7,10,15.8,5,0,0,0,8.3,2,12881,12103
119000,90,3,2.6,12,46.7,12,0,0,0,7,0,50050,13292
103000,58.7,3,2.5,9,36.4,5,0,0,0,5.4,1,16949,12995
110000,67,3,2.5,9,48,4,0,0,0,6.3,0,49574,16461
118000,60.1,3,2.6,5,39.3,5,0,0,0,6.4,0,43446,13627
5784768,187.5,2,3.37,6,63.7,6,0,0,0,30.2,0,22494,1073
282000,109.2,4,3.27,6,69.3,4,0,0,0,18.3,1,25830,4624
60600,33.4,1,2.65,9,17.6,9,0,0,0,8.5,1,33134,14298
94000,61.3,2,2.75,18,26,6,0,0,0,13.8,1,41924,21240
86000,33,1,2.6,19,16,8,0,0,0,8,2,33695,14794
150000,55,2,3.2,5,34,5,0,0,0,8,0,27236,4579
90000,66.1,3,2.6,9,43.4,3,0,0,0,6.3,0,48984,16823
77000,35.4,1,2.65,12,13.8,4,0,0,0,7.5,2,9569,11687
68000,57,2,2.8,3,36,1,0,0,0,10,0,27908,6755
79800,36.8,1,2.8,14,17.9,14,0,0,0,9.7,0,41570,11703
92000,45.8,2,2.6,9,30.2,1,0,0,0,7.7,0,10333,12688
299800,160,5,3.56,6,100,2,0,0,0,22,0,24086,4653
75000,49,4,2.5,5,37.1,5,0,0,0,5.3,0,11900,12386
106000,57,2,2.5,9,29.9,5,0,0,0,8,0,47677,16136
75800,37,1,2.5,9,20,7,0,0,0,7,2,51029,15041
199000,61.2,2,3.17,7,39.7,2,0,0,0,8,0,9740,10123
193800,98,4,3,5,71.9,5,0,0,0,9,0,38809,8069
70000,28.8,1,2.65,9,16,2,0,0,0,6.1,0,36294,10652
174000,71,2,3,25,33,19,0,0,0,14.2,2,51468,15925
